Serie,Modelo,Ingreso,Estado_normalizado,num_reparaciones_6m,num_reparaciones_12m,dias_desde_ultima_reparacion,edad_dias,fallo_30d
740712,CVB35.BC,2022-01-05,Reparado,0,0,0.0,0,0
7202330,CVB35.BC,2021-06-28,Reparado,0,0,0.0,0,0
7202410,CVB35.BC,2021-11-21,Reparado,0,0,0.0,0,0
7202442,CVB35.BC,2022-08-02,Reparado,0,0,0.0,0,0
7202515,CVB35.BC,2022-07-30,Reparado,0,0,0.0,0,0
7202664,CVB35.BC,2024-04-05,Reparado,0,0,0.0,0,0
7203335,CVB35.BC,2021-03-23,Reparado,0,0,0.0,0,0
7203335,CVB35.BC,2022-07-22,Reparado / Garantía Lab,0,0,486.0,486,0
7203335,CVB35.BC,2025-02-28,Reparado / Garantía Lab,0,0,952.0,1438,0
7203336,CVB35.BC,2022-11-02,Reparado,0,0,0.0,0,0
7203336,CVB35.BC,2025-01-31,Reparado / Garantía Lab,0,0,821.0,821,1
7203336,CVB35.BC,2025-02-07,Reparado / Garantía Lab,1,1,7.0,828,0
7203337,CVB35.BC,2025-10-20,Reparado,0,0,0.0,0,0
7203339,CVB35.BC,2021-10-02,Reparado,0,0,0.0,0,0
7203339,CVB35.BC,2022-03-30,Reparado / Garantía Lab,1,1,179.0,179,0
7203339,CVB35.BC,2023-01-18,Reparado / Garantía Lab,0,1,294.0,473,0
7203339,CVB35.BC,2025-02-12,Reparado / Garantía Lab,0,0,756.0,1229,0
7203340,CVB35.BC,2025-01-31,Reparado / Garantía Lab,0,0,0.0,0,1
7203340,CVB35.BC,2025-02-06,Reparado / Garantía Lab,1,1,6.0,6,1
7203340,CVB35.BC,2025-02-12,Reparado / Garantía Lab,2,2,6.0,12,1
7203340,CVB35.BC,2025-02-17,Reparado,3,3,5.0,17,1
7203340,CVB35.BC,2025-02-20,Reparado / Garantía Lab,4,4,3.0,20,1
7203340,CVB35.BC,2025-02-26,Reparado / Garantía Lab,5,5,6.0,26,1
7203340,CVB35.BC,2025-03-03,Reparado / Garantía Lab,6,6,5.0,31,1
7203340,CVB35.BC,2025-03-06,Reparado / Garantía Lab,7,7,3.0,34,1
7203340,CVB35.BC,2025-03-18,Reparado / Garantía Lab,8,8,12.0,46,0
7203340,CVB35.BC,2025-04-29,Reparado / Garantía Lab,9,9,42.0,88,1
7203340,CVB35.BC,2025-05-05,Reparado / Garantía Lab,10,10,6.0,94,1
7203340,CVB35.BC,2025-05-14,Reparado / Garantía Lab,11,11,9.0,103,0
7203340,CVB35.BC,2025-07-22,Reparado / Garantía Lab,12,12,69.0,172,1
7203340,CVB35.BC,2025-08-19,Reparado / Garantía Lab,9,13,28.0,200,0
7203340,CVB35.BC,2025-09-23,Reparado / Garantía Lab,5,14,35.0,235,0
7203340,CVB35.BC,2025-11-19,Reparado / Garantía Lab,3,15,57.0,292,1
7203340,CVB35.BC,2025-12-04,Proceso,4,16,15.0,307,0
7203341,CVB35.BC,2022-05-12,Reparado,0,0,0.0,0,1
7203341,CVB35.BC,2022-05-18,Reparado / Garantía Lab,1,1,6.0,6,0
7203341,CVB35.BC,2025-02-12,Reparado / Garantía Lab,0,0,1001.0,1007,0
7203342,CVB35.BC,2022-11-14,Reparado,0,0,0.0,0,0
7203342,CVB35.BC,2025-11-25,Reparado / Garantía Lab,0,0,1107.0,1107,0
7203343,CVB35.BC,2021-04-07,Reparado,0,0,0.0,0,0
7203343,CVB35.BC,2023-07-04,Reparado / Garantía Lab,0,0,818.0,818,0
7203343,CVB35.BC,2025-09-05,Reparado / Garantía Lab,0,0,794.0,1612,0
7203344,CVB35.BC,2022-07-13,Reparado,0,0,0.0,0,0
7203344,CVB35.BC,2024-06-18,Reparado / Garantía Lab,0,0,706.0,706,0
7203345,CVB35.BC,2024-04-18,Reparado,0,0,0.0,0,0
7203345,CVB35.BC,2025-02-12,Reparado / Garantía Lab,0,1,300.0,300,0
7203345,CVB35.BC,2025-08-08,Reparado / Garantía Lab,1,1,177.0,477,0
7203346,CVB35.BC,2022-10-24,POD Reparado,0,0,0.0,0,0
7203346,CVB35.BC,2022-11-25,Reparado / Garantía Lab,1,1,32.0,32,0
7203347,CVB35.BC,2021-06-01,Reparado,0,0,0.0,0,0
7203347,CVB35.BC,2023-05-24,Reparado / Garantía Lab,0,0,722.0,722,0
7203347,CVB35.BC,2025-01-30,Reparado / Garantía Lab,0,0,617.0,1339,1
7203347,CVB35.BC,2025-02-03,Reparado / Garantía Lab,1,1,4.0,1343,1
7203347,CVB35.BC,2025-02-07,Reparado / Garantía Lab,2,2,4.0,1347,1
7203347,CVB35.BC,2025-02-14,Reparado / Garantía Lab,3,3,7.0,1354,0
7203347,CVB35.BC,2025-06-26,Reparado / Garantía Lab,4,4,132.0,1486,1
7203347,CVB35.BC,2025-07-01,Reparado / Garantía Lab,5,5,5.0,1491,1
7203347,CVB35.BC,2025-07-03,Reparado / Garantía Lab,6,6,2.0,1493,1
7203347,CVB35.BC,2025-07-08,Reparado / Garantía Lab,7,7,5.0,1498,1
7203347,CVB35.BC,2025-07-11,Reparado / Garantía Lab,8,8,3.0,1501,1
7203347,CVB35.BC,2025-07-15,Reparado / Garantía Lab,9,9,4.0,1505,0
7203347,CVB35.BC,2025-10-10,Reparado / Garantía Lab,6,10,87.0,1592,1
7203347,CVB35.BC,2025-11-06,Proceso,7,11,27.0,1619,0
7203348,CVB35.BC,2024-08-13,Reparado,0,0,0.0,0,1
7203348,CVB35.BC,2024-08-16,Reparado / Garantía Lab,1,1,3.0,3,0
7203348,CVB35.BC,2025-11-26,Reparado / Garantía Lab,0,0,467.0,470,0
7203349,CVB35.BC,2021-09-17,Reparado,0,0,0.0,0,1
7203349,CVB35.BC,2021-10-02,Reparado / Garantía Lab,1,1,15.0,15,0
7203349,CVB35.BC,2024-02-19,Reparado / Garantía Lab,0,0,870.0,885,0
