id,Ingreso,Modelo,Serie,OS,PPU,Falla_Indicada,Estado,Salida,Solucion_Comentario,Estado_normalizado
2074,2019-09-18,CVB35.BC,7204609,Bodega Mersan,,Daño Tornillo,Reparado/Garantía Lab,2021-07-28,"Pista Cortada, Pruebas Soft, e Instalacion MK",Reparado / Garantía Lab
1179,2019-09-25,CVB35.BC,7203439,S/O,,No Inicianiliza,Reparado,2021-03-17,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado
2063,2019-11-28,CVB35.BC,7204273,Bodega Mersan,,Fecha Erronea,Reparado/Garantía Lab,2021-07-27,"Cambio Pila, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
2067,2019-12-12,CVB35.BC,7204815,Bodega Mersan,,Error 60,Reparado/Garantía Lab,2021-07-28,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
360,2020-01-06,CVB45.BC,7401292,S/O,,Error 60,Reparado/Garantía Lab,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
448,2020-01-13,CVB45.BC,7402339,S/O,,Error 60,Reparado,2021-01-18,Reconexion IDE e Instalacion S.O MK,Reparado
1306,2020-01-18,CVB45.BC,7402699,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-08,Cambio condensadores MK,Reparado / Garantía Lab
2079,2020-01-28,CVB35.BC,7203433,Bodega Mersan,,Daño Tornillo,Reparado/Garantía Lab,2021-07-30,"Pista Cortada, Pruebas Soft, e Instalacion MK",Reparado / Garantía Lab
2285,2020-01-28,CVB35.BC,7204036,S/O,,Display Blanco/Negro,Reparado/Garantía Lab,2021-08-20,"24 Hrs Conectado, Aplicación Pegamento, Pruebas MK e Instalacion de S.O MK",Reparado / Garantía Lab
3223,2020-01-29,CVB45.BC,7402741,S/O,,Carcasa Frontal y Placa Madre,POD Reparado,2021-12-09,"Cambio Carcasa Frontal y Placa Madre, Test, Instalacion MK",POD Reparado
141,2020-03-12,CVB45.BC,7404823,S/O,,No Enciende,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
142,2020-03-12,CVB45.BC,7407561,S/O,,Falla Molex,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
147,2020-03-12,CVB45.BC,7408213,S/O,,Falla Molex,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
243,2020-05-05,CVB35.BC,7204069,S/O,,Falla Memoria,Reparado,2020-12-22,Cambio de Memoria e Instalacion S.O MK,Reparado
899,2020-05-05,CVB45.BC,7400771,S/O,,Error 60,Reparado,2021-02-17,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado
305,2020-05-05,CVB45.BC,7400953,S/O,,Falla Memoria,Reparado,2021-01-04,Cambio de Memoria e Instalacion S.O MK,Reparado
367,2020-05-05,CVB45.BC,7401188,S/O,,Error 60,Reparado,2021-01-12,Reconexion IDE e Instalacion S.O MK,Reparado
364,2020-05-05,CVB45.BC,7401272,S/O,,Error 60,Reparado,2021-01-12,Reconexion IDE e Instalacion S.O MK,Reparado
302,2020-06-23,CVB45.BC,7401342,S/O,,Mifare Test,Reparado,2021-01-04,Cambio Mifare e Instalacion S.O MK,Reparado
439,2020-07-08,CVB35.BC,7204404,S/O,,Display Protección quebrado,POD,2021-01-15,Cambio Front Mask,POD
6163,2020-07-08,CVB35.BC,7204404,S/O,,"Carcasa Frontal, Front Mask y Display dañados",POD Reparado,2022-11-16,"Cambio Front Cover, Front Mask, y Display",POD Reparado
440,2020-07-08,CVB35.BC,7204522,S/O,,Display Protección quebrado,POD,2021-01-15,Cambio Front Mask,POD
441,2020-07-28,CVB35.BC,7203613,S/O,,Display Protección quebrado,POD,2021-01-15,Cambio Front Mask,POD
2618,2020-07-28,CVB35.BC,7203613,S/O,,Vidrio y Pantalla Quebrada,POD Reparado,2021-09-30,"Cambio Vidrio y Pantalla, Test Mk, Instalacion S.O MK",POD Reparado
1307,2020-07-29,CVB45.BC,7403278,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-08,Cambio condensadores MK,Reparado / Garantía Lab
143,2020-07-29,CVB45.BC,7403877,S/O,,No Enciende,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
443,2020-08-03,CVB45.BC,7404151,S/O,,Display Protección quebrado,POD,2021-01-15,Cambio Front Mask,POD
1313,2020-08-06,CVB45.BC,7404135,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-08,Cambio condensadores MK,Reparado / Garantía Lab
121,2020-08-18,CVB45.BC,7400634,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
365,2020-08-19,CVB35.BC,7204169,S/O,,Error 60,Reparado,2021-01-12,Reconexion IDE e Instalacion S.O MK,Reparado
451,2020-08-19,CVB35.BC,7204713,S/O,,Error 60,Reparado,2021-01-18,Reconexion IDE e Instalacion S.O MK,Reparado
168,2020-08-19,CVB45.BC,7403889,S/O,,No Enciende,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
212,2020-08-21,CVB35.BC,7203730,S/O,,No Enciende,Reparado,2020-12-18,Reconexion e Instalacion S.O MK,Reparado
214,2020-08-21,CVB35.BC,7204360,S/O,,No Enciende,Reparado,2020-12-18,Reconexion e Instalacion S.O MK,Reparado
199,2020-08-24,CVB35.BC,7204471,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
144,2020-08-24,CVB45.BC,7403275,S/O,,No Enciende,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
1287,2020-08-24,CVB45.BC,7403359,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-06,Cambio condensadores MK,Reparado / Garantía Lab
240,2020-08-24,CVB45.BC,7406344,S/O,,No Enciende,Reparado,2020-12-22,Reconexion e Instalacion S.O MK,Reparado
726,2020-08-28,CVB45.BC,7406315,S/O,,No enciende,Reparado,2021-02-08,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado
236,2020-09-01,CVB45.BC,7401277,S/O,,Mifare Test,Reparado,2020-12-22,Cambio Mifare e Instalacion S.O MK,Reparado
834,2020-09-01,CVB45.BC,7404130,S/O,,No Enciende,Reparado,2021-02-11,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado
237,2020-09-01,CVB45.BC,7404150,S/O,,Mifare Test,Reparado,2020-12-22,Cambio Mifare e Instalacion S.O MK,Reparado
201,2020-09-01,CVB45.BC,7404603,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
265,2020-09-01,CVB45.BC,7404616,S/O,,Mifare Test,Reparado,2020-12-28,Cambio Mifare e Instalacion S.O MK,Reparado
217,2020-09-01,CVB45.BC,7404655,S/O,,Mifare Test,Reparado,2020-12-18,Instalacion S.O MK,Reparado
230,2020-09-01,CVB45.BC,7404950,S/O,,Mifare Test,Reparado,2020-12-21,Cambio Mifare e Instalacion S.O MK,Reparado
304,2020-09-01,CVB45.BC,7405137,S/O,,No Enciende,Reparado,2021-01-04,Reconexion e Instalacion S.O MK,Reparado
299,2020-09-01,CVB45.BC,7405783,S/O,,No Enciende,Reparado,2020-12-31,Reconexion e Instalacion S.O MK,Reparado
2064,2020-09-08,CVB35.BC,7203606,Bodega Mersan,,Sin Sonido,Reparado/Garantía Lab,2021-07-27,"Cambio Parlante, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
2066,2020-09-08,CVB35.BC,7204438,Bodega Mersan,,Error 60,Reparado/Garantía Lab,2021-07-28,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
442,2020-09-08,CVB45.BC,7402836,S/O,,Display Protección quebrado,POD,2021-01-15,Cambio Front Mask,POD
2072,2020-09-08,CVB45.BC,7404449,Bodega Mersan,,Error 60,Reparado,2021-07-28,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado
253,2020-09-09,CVB45.BC,7405935,S/O,,No Enciende,Reparado,2020-12-24,Reconexion e Instalacion S.O MK,Reparado
193,2020-09-10,CVB45.BC,7401040,S/O,,Sim Test,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
116,2020-09-10,CVB45.BC,7401643,S/O,,Falla Memoria,Reparado,2020-12-09,Cambio Procesador,Reparado
833,2020-09-11,CVB35.BC,7203847,S/O,,No Enciende,Reparado,2021-02-11,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado
177,2020-09-11,CVB45.BC,7401024,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
115,2020-09-11,CVB45.BC,7404141,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
175,2020-09-11,CVB45.BC,7405539,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
176,2020-09-11,CVB45.BC,7405560,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
1405,2020-09-15,CVB45.BC,7403648,S/O,,Condensador,Reparado,2021-04-21,Reparacion Condensadores,Reparado
131,2020-09-15,CVB45.BC,7403848,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
357,2020-09-20,CVB45.BC,7405224,S/O,,Error 60,Reparado,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado
196,2020-09-21,CVB45.BC,7405125,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
415,2020-09-22,CVB45.BC,7401281,S/O,,Error 60,Reparado,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado
261,2020-09-23,CVB45.BC,7402270,S/O,,Display Blanco/Negro,Reparado,2020-12-24,Cambio de Flex e Instalacion S.O MK,Reparado
198,2020-09-23,CVB45.BC,7403213,S/O,,Mifare Test,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
231,2020-09-25,CVB35.BC,7204640,S/O,,No Enciende,Reparado,2020-12-22,Reconexion e Instalacion S.O MK,Reparado
270,2020-09-25,CVB45.BC,7402923,S/O,,Problema USB,Reparado,2020-12-28,Cambio USB e Instalacion S.O MK,Reparado
220,2020-09-25,CVB45.BC,7403176,S/O,,Mifare Test,Reparado,2020-12-18,Instalacion S.O MK,Reparado
238,2020-09-25,CVB45.BC,7406276,S/O,,No Enciende,Reparado,2020-12-22,Reconexion e Instalacion S.O MK,Reparado
153,2020-09-28,CVB45.BC,7402825,S/O,,Problema Software Sonda,Reparado,2020-12-11,Instalacion S.O MK,Reparado
262,2020-09-29,CVB45.BC,7402926,S/O,,No Enciende,Reparado,2020-12-28,Reconexion e Instalacion S.O MK,Reparado
192,2020-10-01,CVB35.BC,7204739,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
444,2020-10-01,CVB35.BC,7205813,S/O,,Display Protección quebrado,POD,2021-01-15,Front Mask,POD
197,2020-10-05,CVB45.BC,7404697,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
205,2020-10-06,CVB45.BC,7401044,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
260,2020-10-06,CVB45.BC,7402787,S/O,,Display Blanco/Negro,Reparado,2020-12-24,Cambio de Flex e Instalacion S.O MK,Reparado
232,2020-10-09,CVB45.BC,7404692,S/O,,Display Blanco/Negro,Reparado,2020-12-22,Cambio de Flex e Instalacion S.O MK,Reparado
166,2020-10-10,CVB45.BC,7403750,S/O,,Problema Software Sonda,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
135,2020-10-11,CVB45.BC,7401317,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
134,2020-10-11,CVB45.BC,7401891,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
136,2020-10-11,CVB45.BC,7406226,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
180,2020-10-11,CVB45.BC,7406448,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
132,2020-10-11,CVB45.BC,7407395,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
359,2020-10-11,CVB45.BC,7407547,S/O,,Error 60,Reparado,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado
179,2020-10-11,CVB45.BC,7407682,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
133,2020-10-11,CVB45.BC,7408352,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
189,2020-10-12,CVB45.BC,7408384,S/O,,No Enciende,Reparado,2020-12-15,Reconexion e Instalacion S.O MK,Reparado
174,2020-10-13,CVB45.BC,7401408,S/O,,No Comunica,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
125,2020-10-20,CVB45.BC,7401712,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
472,2020-10-20,CVB45.BC,7402346,S/O,,No Enciende,Reparado,2021-01-20,Reconexion e Instalacion S.O MK,Reparado
